Job Title,Company Name,Location,Skills,Links,Posted At
UI/UX Designer - Front End Developer,Tidal -,"Cairo, Egypt ",Full TimePart TimeFreelance / ProjectExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · UI Design · UX · Adobe Photoshop · CSS · Design · Information Technology (IT) · HTML,/jobs/p/gCrZSBcGBZkR-UIUX-Designer---Front-End-Developer-Tidal-Cairo-Egypt?o=51&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
Front-End Software Engineer,Eden Solutions -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Typescript · Computer Science · Information Technology (IT) · Software Engineering · Front-End Development · HTML · CSS,/jobs/p/wW4BkeKAIaeG-Front-End-Software-Engineer-Eden-Solutions-Cairo-Egypt?o=52&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
Senior Full Stack Developer/Frontend,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Full Stack · JavaScript · PHP · React · Information Technology (IT) · Laravel,/jobs/p/izJH7y1nWCAj-Senior-Full-Stack-DeveloperFrontend-Cairo-Egypt?o=53&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
Angular Front End Developer,Glamera -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · Angular · jQuery · MVC · JSON · Information Technology (IT) · XML · CSS3,/jobs/p/mOAYher05B0n-Angular-Front-End-Developer-Glamera-Cairo-Egypt?o=54&l=sp&t=sj&a=front-end|search-v3|hpb,2 months ago
Mid-level Frontend Developer,Kick Start Interactive -,"Dokki, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · CSS · HTML5 · Information Technology (IT) · Software Development · JavaScript · Sass · Laravel · CSS3 · Vue.js,/jobs/p/whAoVFeXvRrS-Mid-level-Frontend-Developer-Kick-Start-Interactive-Giza-Egypt?o=55&l=sp&t=sj&a=front-end|search-v3|hpb,2 months ago
Angular Frontend Developer,TRIMETIS -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Git · CSS · Sass · JavaScript · Information Technology (IT) · Software Development,/jobs/p/jxiLBKLUMaZo-Angular-Frontend-Developer-TRIMETIS-Cairo-Egypt?o=56&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
Senior Frontend Engineer - (Vue / Nuxt.js),Remotecoders -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Vue.js · nuxt.js · CSS · Information Technology (IT) · senior · senior frontend · Software Development · nuxt,/jobs/p/VPh3aJmE1D6j-Senior-Frontend-Engineer---Vue-Nuxtjs-Remotecoders-Cairo-Egypt?o=57&l=sp&t=sj&a=front-end|search-v3|hpb,21 days ago
Front End Developer - React JS,Deli Techno -,"Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front end · Software Engineering · Software Development · Computer Science,/jobs/p/OvQg6aVQg8YO-Front-End-Developer---React-JS-Deli-Techno-Alexandria-Egypt?o=58&l=sp&t=sj&a=front-end|search-v3|hpb,2 months ago
Senior Frontend Engineer - Angular,Remotecoders -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 15 Yrs of Exp · IT/Software Development · Angular · AngularJS · JavaScript · Typescript · HTML5 · CSS3 · Python · Software · Software Development,/jobs/p/quqVOekV7kvk-Senior-Frontend-Engineer---Angular-Remotecoders-Cairo-Egypt?o=59&l=sp&t=sj&a=front-end|search-v3|hpb,13 days ago
Senior Front End Developer,Orion -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · HTML5 · CSS3 · JavaScript · Software Development · Computer Science · CSS · Git,/jobs/p/QcE86ShZv1Gp-Senior-Front-End-Developer-Orion-Cairo-Egypt?o=60&l=sp&t=sj&a=front-end|search-v3|hpb,2 months ago
